pango_lineage,pango_unaliased,count
B.1.561,B.1.561,1
FL.20.2,XBB.1.9.1.20.2,1
B.1.241,B.1.241,1
JN.2,B.1.1.529.2.86.1.2,1
BA.4.5,B.1.1.529.4.5,1
EN.1,B.1.1.529.5.3.1.1.1.1.1.1.46.1,1
DV.7.1,B.1.1.529.2.75.3.4.1.1.1.1.1.7.1,1
B.1.36.18,B.1.36.18,1
BQ.1.1.40,B.1.1.529.5.3.1.1.1.1.1.1.40,1
BF.5,B.1.1.529.5.2.1.5,1
XEC.2,XEC.2,1
FL.29,XBB.1.9.1.29,1
BA.1.2,B.1.1.529.1.2,1
BA.5,B.1.1.529.5,1
BA.1.14,B.1.1.529.1.14,1
XEC.33,XEC.33,1
XBB.1.5.65,XBB.1.5.65,1
B.1.1.192,B.1.1.192,1
BA.5.5,B.1.1.529.5.5,1
XBB.1.5.1,XBB.1.5.1,1
B.1.1.318,B.1.1.318,1
EF.1.2,B.1.1.529.5.3.1.1.1.1.1.1.13.1.2,1
BA.2.56,B.1.1.529.2.56,1
B.1.177.77,B.1.177.77,1
BF.31,B.1.1.529.5.2.1.31,1
BA.5.6,B.1.1.529.5.6,1
B.1.568,B.1.568,1
BA.5.1.8,B.1.1.529.5.1.8,1
B.1.1.277,B.1.1.277,1
KS.1,B.1.1.529.2.86.1.1.13.1.1,1
BQ.1.2.3,B.1.1.529.5.3.1.1.1.1.1.2.3,1
XBB.1.5.48,XBB.1.5.48,1
KP.3.2,B.1.1.529.2.86.1.1.11.1.3.2,1
FL.3.1,XBB.1.9.1.3.1,1
BF.7.4,B.1.1.529.5.2.1.7.4,1
EU.1.1,XBB.1.5.26.1.1,1
GK.1.1,XBB.1.5.70.1.1,1
B.1.470,B.1.470,1
XBB.1.16.1,XBB.1.16.1,1
DV.7.1.4,B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.4,1
CL.1,B.1.1.529.5.1.29.1,1
FU.3,XBB.1.16.1.3,1
BA.1.1.18,B.1.1.529.1.1.18,1
XAZ,XAZ,1
BA.5.9,B.1.1.529.5.9,1
BF.14,B.1.1.529.5.2.1.14,1
XBB.1.5.25,XBB.1.5.25,1
BA.2.35,B.1.1.529.2.35,1
JN.1.18,B.1.1.529.2.86.1.1.18,1
HN.1,XBB.1.9.1.1.5.1.1,1
BA.2.7,B.1.1.529.2.7,1
AY.46.6,B.1.617.2.46.6,1
BE.1.2.1,B.1.1.529.5.3.1.1.2.1,1
XBB.1.5.13,XBB.1.5.13,1
MC.21,B.1.1.529.2.86.1.1.11.1.3.1.1.21,1
XBB.1.16.11,XBB.1.16.11,1
AY.107,B.1.617.2.107,1
B.1.240,B.1.240,1
B.1.311,B.1.311,1
XBB.2.3.7,XBB.2.3.7,1
BE.4.2,B.1.1.529.5.3.1.4.2,1
CK.2.1.1,B.1.1.529.5.2.24.2.1.1,1
KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,1
BF.31.1,B.1.1.529.5.2.1.31.1,1
BA.2.38,B.1.1.529.2.38,1
LP.1,B.1.1.529.2.86.1.1.11.1.1.1.3.1,1
KP.2,B.1.1.529.2.86.1.1.11.1.2,1
B.1.1.25,B.1.1.25,1
HK.17,XBB.1.9.2.5.1.1.17,1
FE.1.2,XBB.1.18.1.1.2,1
B.1.1.28,B.1.1.28,1
BA.2.12.2,B.1.1.529.2.12.2,1
BA.5.2.35,B.1.1.529.5.2.35,1
EG.5.1.1,XBB.1.9.2.5.1.1,1
B.1.258.17,B.1.258.17,1
DE.2,B.1.1.529.5.1.23.2,1
B.1.234,B.1.234,1
BQ.1.3.2,B.1.1.529.5.3.1.1.1.1.1.3.2,1
B.1.509,B.1.509,1
BF.24,B.1.1.529.5.2.1.24,1
JN.1.10,B.1.1.529.2.86.1.1.10,1
BN.1.6,B.1.1.529.2.75.5.1.6,1
BA.2.75.5,B.1.1.529.2.75.5,1
MC.1,B.1.1.529.2.86.1.1.11.1.3.1.1.1,2
HK.11,XBB.1.9.2.5.1.1.11,2
BA.5.1.30,B.1.1.529.5.1.30,2
BA.2.36,B.1.1.529.2.36,2
A.2,A.2,2
B.1.1.529,B.1.1.529,2
BQ.1.1.32,B.1.1.529.5.3.1.1.1.1.1.1.32,2
XBB.1.16.27,XBB.1.16.27,2
BA.5.2.21,B.1.1.529.5.2.21,2
B.1.1.284,B.1.1.284,2
BN.1.3.1,B.1.1.529.2.75.5.1.3.1,2
BA.1.20,B.1.1.529.1.20,2
FU.2.1,XBB.1.16.1.2.1,2
B.1.243,B.1.243,2
XBB.1,XBB.1,2
AY.124,B.1.617.2.124,2
B,B,2
BQ.1.1.1,B.1.1.529.5.3.1.1.1.1.1.1.1,2
FL.4,XBB.1.9.1.4,2
B.1.351,B.1.351,2
AY.29,B.1.617.2.29,2
BQ.1.1.3,B.1.1.529.5.3.1.1.1.1.1.1.3,2
B.1.1.37,B.1.1.37,2
BQ.1,B.1.1.529.5.3.1.1.1.1.1,2
XBB.1.5.28,XBB.1.5.28,2
GS.4.1,XBB.2.3.11.4.1,2
CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,2
B.1.177.81,B.1.177.81,2
BA.5.1.23,B.1.1.529.5.1.23,2
BA.4,B.1.1.529.4,2
BA.5.2.62,B.1.1.529.5.2.62,2
BA.5.2.48,B.1.1.529.5.2.48,2
KP.3.1,B.1.1.529.2.86.1.1.11.1.3.1,2
B.1.1.50,B.1.1.50,2
B.39,B.39,2
AY.122,B.1.617.2.122,2
BA.5.2.6,B.1.1.529.5.2.6,2
BA.5.1.10,B.1.1.529.5.1.10,2
B.1.517,B.1.517,2
XBB.1.16.15,XBB.1.16.15,2
BA.1.1.16,B.1.1.529.1.1.16,2
JG.3,XBB.1.9.2.5.1.3.3,3
B.1.36,B.1.36,3
B.1.429,B.1.429,3
B.1.221,B.1.221,3
HK.3,XBB.1.9.2.5.1.1.3,3
XBB.1.9.1,XBB.1.9.1,3
JN.1.4,B.1.1.529.2.86.1.1.4,3
EG.5.1.3,XBB.1.9.2.5.1.3,3
BN.1.3,B.1.1.529.2.75.5.1.3,3
XBB.1.16.6,XBB.1.16.6,3
BQ.1.1.18,B.1.1.529.5.3.1.1.1.1.1.1.18,4
AY.4,B.1.617.2.4,4
BA.4.1,B.1.1.529.4.1,4
XBB.1.9.2,XBB.1.9.2,4
AY.103,B.1.617.2.103,4
BA.2.1,B.1.1.529.2.1,4
EG.5.1,XBB.1.9.2.5.1,4
B.1.177,B.1.177,4
XCH.1,XCH.1,4
B.1.617.2,B.1.617.2,5
B.1.258,B.1.258,5
HV.1,XBB.1.9.2.5.1.6.1,5
AY.43,B.1.617.2.43,5
XBB.1.16,XBB.1.16,5
BA.1.18,B.1.1.529.1.18,5
BF.7,B.1.1.529.5.2.1.7,6
BA.4.6,B.1.1.529.4.6,6
B.1.160,B.1.160,6
BA.1.17.2,B.1.1.529.1.17.2,7
