pango_lineage,pango_unaliased,count
PQ.17,XDV.1.5.1.1.8.1.17,1
HK.8,XBB.1.9.2.5.1.1.8,1
MC.24,B.1.1.529.2.86.1.1.11.1.3.1.1.24,1
XBB.1.16.16,XBB.1.16.16,1
XBB.1.41.1,XBB.1.41.1,1
XBB.1.5.91,XBB.1.5.91,1
CH.1.1.1,B.1.1.529.2.75.3.4.1.1.1.1.1,1
KP.3.3.4,B.1.1.529.2.86.1.1.11.1.3.3.4,1
HK.26,XBB.1.9.2.5.1.1.26,1
HK.20.1,XBB.1.9.2.5.1.1.20.1,1
FY.1.2,XBB.1.22.1.1.2,1
BA.5.1.9,B.1.1.529.5.1.9,1
XBB.1.5.16,XBB.1.5.16,1
XBB.1.5.52,XBB.1.5.52,1
FL.3.3,XBB.1.9.1.3.3,1
XBB.1.16.28,XBB.1.16.28,1
JN.1.6,B.1.1.529.2.86.1.1.6,1
XBB.1.5.21,XBB.1.5.21,1
BA.4.4,B.1.1.529.4.4,1
BN.1.5.2,B.1.1.529.2.75.5.1.5.2,1
MT.1.1,B.1.1.529.2.86.1.1.16.4.1.1,1
XQ,XQ,1
XCT.1,XCT.1,1
BQ.1.1.65,B.1.1.529.5.3.1.1.1.1.1.1.65,1
BA.4.6,B.1.1.529.4.6,1
EG.6.1,XBB.1.9.2.6.1,1
BQ.1.1.22,B.1.1.529.5.3.1.1.1.1.1.1.22,1
BA.5.2.47,B.1.1.529.5.2.47,1
HK.13,XBB.1.9.2.5.1.1.13,1
HY.1,XBB.1.5.100.1,1
BF.25,B.1.1.529.5.2.1.25,1
BA.4.5,B.1.1.529.4.5,1
EN.1,B.1.1.529.5.3.1.1.1.1.1.1.46.1,1
BA.2.65,B.1.1.529.2.65,1
DV.7.1,B.1.1.529.2.75.3.4.1.1.1.1.1.7.1,1
BQ.1.1.40,B.1.1.529.5.3.1.1.1.1.1.1.40,1
BF.5,B.1.1.529.5.2.1.5,1
XEC.2,XEC.2,1
GS.4.1,XBB.2.3.11.4.1,1
BF.6,B.1.1.529.5.2.1.6,1
EG.5.1,XBB.1.9.2.5.1,1
BA.1.14,B.1.1.529.1.14,1
XBB.1.5.73,XBB.1.5.73,1
BA.1.15.1,B.1.1.529.1.15.1,1
B.1.1.192,B.1.1.192,1
XBB.1.5.1,XBB.1.5.1,1
XEC.8,XEC.8,1
FL.2.7.1,XBB.1.9.1.2.7.1,1
DY.1,B.1.1.529.5.2.48.1,1
BA.5.1.17,B.1.1.529.5.1.17,1
KS.1,B.1.1.529.2.86.1.1.13.1.1,1
BA.2.10,B.1.1.529.2.10,1
PQ.8.1,XDV.1.5.1.1.8.1.8.1,1
BA.4,B.1.1.529.4,1
GN.1.3,XBB.1.5.73.1.3,1
BF.7.26,B.1.1.529.5.2.1.7.26,1
XAZ,XAZ,1
BA.2.35,B.1.1.529.2.35,1
BA.2.7,B.1.1.529.2.7,1
BQ.1.1.2,B.1.1.529.5.3.1.1.1.1.1.1.2,1
EG.5.1.16,XBB.1.9.2.5.1.16,1
XBB.2.3.17,XBB.2.3.17,1
BA.1.21,B.1.1.529.1.21,1
AY.3,B.1.617.2.3,1
XBB.1.5.13,XBB.1.5.13,1
BN.1.3,B.1.1.529.2.75.5.1.3,1
BA.5.8,B.1.1.529.5.8,1
FL.10,XBB.1.9.1.10,1
BG.4,B.1.1.529.2.12.1.4,1
B.1.240,B.1.240,1
XFG.5.1,XFG.5.1,1
XBB.1.16.21,XBB.1.16.21,1
JG.3.2,XBB.1.9.2.5.1.3.3.2,1
XBB.1.5.12,XBB.1.5.12,1
BA.5.11,B.1.1.529.5.11,1
XBB.1.42.1,XBB.1.42.1,1
BA.1.21.1,B.1.1.529.1.21.1,1
BA.5.1.10,B.1.1.529.5.1.10,1
GJ.4,XBB.2.3.3.4,1
BA.2.38,B.1.1.529.2.38,1
LP.1,B.1.1.529.2.86.1.1.11.1.1.1.3.1,1
B.1.526,B.1.526,1
XCH.1,XCH.1,1
HK.17,XBB.1.9.2.5.1.1.17,1
KP.2,B.1.1.529.2.86.1.1.11.1.2,1
BQ.1.1.55,B.1.1.529.5.3.1.1.1.1.1.1.55,1
KP.1.1.3,B.1.1.529.2.86.1.1.11.1.1.1.3,1
BA.5.2.35,B.1.1.529.5.2.35,1
BA.1.1.16,B.1.1.529.1.1.16,1
B.1.258.17,B.1.258.17,1
LF.7.1.3,B.1.1.529.2.86.1.1.16.1.7.1.3,1
B.1.509,B.1.509,1
XEC.39,XEC.39,1
BN.1.6,B.1.1.529.2.75.5.1.6,1
BA.2.75.5,B.1.1.529.2.75.5,1
